,tf values
01,29
23,18
30,17
34,15
12,12
03,12
10,11
20,11
13,10
67,10
33,9
55,9
45,8
52,8
21,8
234,7
09,7
17,7
04,7
40,6
32,6
56,6
71,6
00,6
06,6
51,5
22,5
fg,5
93,5
77,5
25,5
81,5
a2,5
11,5
31,4
ab,4
bc,4
0a,4
90,4
36,4
41,4
42,4
46,4
49,4
26,4
66,3
29,3
60,3
63,3
2789,3
